module_id	module_name	tier	source_org_count	source_orgs
M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	A	43	aba,ade,afr,alam,apr,apv,bba,bsed,bsr,bsu,bth,btho,caby,cac,cae,ccz,cex,cpo,cprv,ddf,dra,dth,ecj,eco,emi,fnu,gau,gsk,gsu,ial,mmy,mmym,nli,ote,rba,rmr,syn,syz,tai,tma,ttk,tye,vab
M00002	Glycolysis, core module involving three-carbon compounds	A	58	aba,ade,afr,alam,apr,apv,bba,bbu,bbz,bsed,bsr,bsu,bth,btho,caby,cac,cae,ccz,cex,cpo,cprv,ctd,ctr,ddf,din,dra,dth,ecj,eco,emi,fnu,fvg,gau,gsk,gsu,hin,hit,ial,lpro,mbf,mmy,mmym,nli,nme,nmp,ote,rba,rmr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab
M00003	Gluconeogenesis, oxaloacetate => fructose-6P	A	24	aba,bsr,bsu,bth,btho,caby,cprv,cte,ddf,din,ecj,eco,fnu,gau,gsk,gsu,hin,hit,ial,nli,rmr,tnr,ttk,vab
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	A	27	aba,ade,afr,bsed,bsr,bsu,bth,btho,ccz,ctd,cte,ctr,ecj,eco,hit,ial,lpro,nme,nmp,ote,rba,rmr,syn,syz,tma,tro,vab
M00005	PRPP biosynthesis, ribose-5P => PRPP	A	66	aae,aba,ade,afr,alam,apr,apv,bba,bbu,bbz,bsed,bsr,bsu,bth,btho,caby,cac,caci,cae,ccz,cex,cpo,cprv,cte,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,lpro,mbf,mmy,mmym,nli,nme,nmp,ote,rba,rmr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
M00006	Pentose phosphate pathway, oxidative phase, glucose-6P => ribulose-5P	A	30	aba,ade,afr,bbu,bbz,bsed,bsr,bsu,bth,btho,ccz,ctd,cte,ctr,ecj,eco,hit,ial,lpro,nme,nmp,ote,rba,rmr,syn,syz,tma,tro,vab,vbl
M00007	Pentose phosphate pathway, non-oxidative phase, fructose-6P => ribose-5P	A	55	aae,aba,ade,afr,alam,apr,apv,bba,bsed,bsr,bsu,bth,btho,caby,cac,cae,ccz,cex,cpo,cprv,ctd,cte,ctr,ddf,det,din,dra,ecj,eco,fma,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,lpro,nli,nme,nmp,ote,rba,rmr,syn,syz,tma,tnr,tro,ttk,tye,vab,vai
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	A	6	ecj,eco,heo,hpy,nme,nmp
M00009	Citrate cycle (TCA cycle, Krebs cycle)	A	30	aba,ade,bba,bsed,bsr,bsu,bth,btho,caby,cprv,cte,ddf,din,dra,ecj,eco,gau,gsk,gsu,ial,lpro,nme,nmp,ote,rba,rmr,rpo,rpr,ttk,vab
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	A	44	aba,ade,afr,apr,bba,bsed,bsr,bsu,bth,btho,caby,cac,cae,ccz,cprv,cte,ddf,din,dra,ecj,eco,fsu,gau,gsk,gsu,heo,hpy,ial,lpro,nli,nme,nmp,ote,rba,rmr,rpo,rpr,syn,syz,tro,ttk,tye,vab,vbl
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	A	34	aba,ade,bba,bsed,bsr,bsu,bth,btho,caby,cprv,ctd,cte,ddf,din,dra,ecj,eco,fml,gau,gsk,gsu,hin,hit,ial,lpro,nme,nmp,ote,rba,rmr,rpo,rpr,ttk,vab
M00012	Glyoxylate cycle	A	9	aba,ade,bsed,cprv,dra,ecj,eco,rmr,tro
M00015	Proline biosynthesis, glutamate => proline	A	44	aae,aba,ade,afr,alam,bsed,bsr,bsu,bth,btho,cac,cae,cte,ddf,det,din,dra,dth,ecj,eco,emi,fml,fsu,fvg,gau,gsk,gsu,hin,hit,lpro,mbf,nli,nme,nmp,ote,rba,syn,syz,tma,tnr,ttk,tye,vai,vbl
M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	A	11	ade,afr,cac,cae,din,ecj,eco,gau,lpro,nme,nmp
M00017	Methionine biosynthesis, aspartate => homoserine => methionine	A	11	aba,bsr,bsu,cac,cae,din,ecj,eco,gsk,hin,ote
M00018	Threonine biosynthesis, aspartate => homoserine => threonine	A	39	aae,aba,ade,afr,alam,apv,bsed,bsr,bsu,caby,cac,cae,cprv,cte,din,dra,dth,ecj,eco,emi,fml,fsu,heo,hin,hit,hpy,mbf,nli,nme,nmp,ote,rmr,syn,syz,tai,tma,tnr,tro,vab
