pathway_id	pathway_name	source_org_count	source_orgs
ko00010	Glycolysis / Gluconeogenesis - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko00020	Citrate cycle (TCA cycle) - Methanocaldococcus jannaschii	10	acj,agw,ape,mfe,mja,nir,nmr,oyw,tac,war
ko00030	Pentose phosphate pathway - Methanocaldococcus jannaschii	8	acj,agw,ape,mfe,mja,nir,nmr,tac
ko00040	Pentose and glucuronate interconversions - Methanocaldococcus jannaschii	6	acj,agw,ape,mfe,mja,tac
ko00051	Fructose and mannose metabolism - Methanocaldococcus jannaschii	8	acj,agw,ape,mfe,mja,nir,nmr,tac
ko00052	Galactose metabolism - Methanocaldococcus jannaschii	8	acj,agw,ape,mfe,mja,nir,nmr,tac
ko00053	Ascorbate and aldarate metabolism - Methanocaldococcus jannaschii	1	mja
ko00061	Fatty acid biosynthesis - Aeropyrum pernix	6	acj,ape,nir,nmr,tac,war
ko00071	Fatty acid degradation - Methanocaldococcus jannaschii	8	acj,agw,ape,mfe,mja,nir,nmr,tac
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis - Aeropyrum pernix	5	acj,ape,nir,nmr,tac
ko00190	Oxidative phosphorylation - Methanocaldococcus jannaschii	8	acj,agw,ape,mfe,mja,nir,nmr,tac
ko00220	Arginine biosynthesis - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko00230	Purine metabolism - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko00240	Pyrimidine metabolism - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko00250	Alanine, aspartate and glutamate metabolism - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko00260	Glycine, serine and threonine metabolism - Methanocaldococcus jannaschii	8	acj,agw,ape,mfe,mja,nir,nmr,tac
ko00261	Monobactam biosynthesis - Methanocaldococcus jannaschii	7	acj,ape,mfe,mja,nir,nmr,tac
ko00270	Cysteine and methionine metabolism - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,oyw,tac
ko00280	Valine, leucine and isoleucine degradation - Methanocaldococcus jannaschii	8	acj,agw,ape,mfe,mja,nir,nmr,tac
ko00290	Valine, leucine and isoleucine biosynthesis - Methanocaldococcus jannaschii	8	acj,agw,ape,mfe,mja,nir,nmr,tac
ko00300	Lysine biosynthesis - Methanocaldococcus jannaschii	7	acj,ape,mfe,mja,nir,nmr,tac
ko00310	Lysine degradation - Methanocaldococcus jannaschii	7	acj,ape,mfe,mja,nir,nmr,tac
ko00330	Arginine and proline metabolism - Methanocaldococcus jannaschii	8	acj,agw,ape,mfe,mja,nir,nmr,tac
