pathway_id	pathway_name	source_org_count	source_orgs
ko00010	Glycolysis / Gluconeogenesis - Fannyhessea vaginae	63	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00020	Citrate cycle (TCA cycle) - Haemophilus influenzae Rd KW20 (serotype d)	58	aae,aba,ade,afr,apr,bba,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00030	Pentose phosphate pathway - Fannyhessea vaginae	61	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00040	Pentose and glucuronate interconversions - Fannyhessea vaginae	55	aae,aba,ade,afr,apr,apv,bba,bsr,bsu,bth,cac,cae,ccz,cex,cpo,cte,ddf,det,din,dth,ecj,eco,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00051	Fructose and mannose metabolism - Fannyhessea vaginae	63	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00052	Galactose metabolism - Fannyhessea vaginae	58	aae,aba,ade,afr,apr,apv,bba,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,cte,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00053	Ascorbate and aldarate metabolism - Fannyhessea vaginae	38	aae,aba,ade,afr,apr,apv,bsr,bsu,bth,ccz,cpo,cte,ddf,din,dra,dth,ecj,eco,fma,fml,fsu,fvg,gau,gsk,gsu,hin,nli,ote,rba,rmr,syn,syz,tma,tro,ttk,tye,vab,vbl
ko00061	Fatty acid biosynthesis - Haemophilus influenzae Rd KW20 (serotype d)	59	aae,aba,ade,afr,apr,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,nli,nme,nmp,ote,rba,rmr,rpo,rpr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00071	Fatty acid degradation - Fannyhessea vaginae	51	aae,aba,ade,afr,apr,bba,bbu,bbz,bsr,bsu,cac,cae,ccz,cex,cpo,cte,ddf,din,dra,ecj,eco,emi,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,nli,nme,nmp,ote,rba,rmr,rpo,rpr,syn,syz,tma,tnr,tro,ttk,vab,vbl
ko00074	Mycolic acid biosynthesis - Bacillus subtilis subsp. subtilis 168	43	aae,aba,ade,afr,bsr,bsu,cac,cae,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,fml,fnu,gau,gsk,gsu,heo,hpy,ial,mbf,nli,nme,nmp,ote,rba,rpo,rpr,tai,tma,tnr,tro,tye,vab,vai
ko00100	Steroid biosynthesis - Synechocystis sp. PCC 6803	7	emi,fsu,gau,nli,syn,syz,vab
ko00121	Secondary bile acid biosynthesis - Escherichia coli K-12 MG1655	4	ecj,eco,heo,hpy
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis - Haemophilus influenzae Rd KW20 (serotype d)	51	aae,aba,ade,afr,bba,bsr,bsu,bth,cac,cae,ccz,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,fml,fnu,fsu,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,nli,nme,nmp,ote,rba,rmr,rpo,rpr,syn,syz,tma,tnr,tro,ttk,tye,vab,vai,vbl
